Block   Block_avgCumulative_avg       Error
659   -0.436297   -0.442339  0.00327057
660   -0.495332    -0.44242   0.0032666
661   -0.503668   -0.442512  0.00326298
662   -0.508365   -0.442612  0.00325956
663   -0.480156   -0.442668  0.00325514
664   -0.395969   -0.442598    0.003251
665   -0.451148   -0.442611  0.00324614
666   -0.442899   -0.442611  0.00324127
667   -0.425374   -0.442585  0.00323652
668   -0.416413   -0.442546  0.00323192
669   -0.465161    -0.44258  0.00322726
670   -0.406659   -0.442526   0.0032229
671   -0.380904   -0.442435   0.0032194
672   -0.394267   -0.442363  0.00321541
673   -0.411277   -0.442317  0.00321097
674   -0.477915    -0.44237  0.00320664
675   -0.543458   -0.442519  0.00320539
676   -0.487182   -0.442585  0.00320133
677   -0.443924   -0.442587   0.0031966
678   -0.425309   -0.442562  0.00319199
679    -0.43315   -0.442548  0.00318733
680   -0.479101   -0.442602  0.00318309
681   -0.344931   -0.442458  0.00318165
682   -0.526735   -0.442582  0.00317938
683   -0.432344   -0.442567  0.00317477
684   -0.517873   -0.442677  0.00317203
685    -0.45895     -0.4427  0.00316749
686   -0.352746    -0.44257  0.00316559
687   -0.493734   -0.442644  0.00316186
688   -0.491579   -0.442715  0.00315807
689   -0.385455   -0.442632  0.00315458
690    -0.54813   -0.442785  0.00315371
691   -0.292811   -0.442568  0.00315659
692   -0.437223    -0.44256  0.00315205
693   -0.456024    -0.44258  0.00314756
694   -0.535054   -0.442713  0.00314584
